id,gender,age,education,is_capital,income,ideology,DemPolGrievence,PolicyPolGrievence,EUPolGrievence,EconGrievenceRetro,EconGrievenceProspInd,EconGrievenceProspAgg,NatPride,NativeRights,NativeJobs,LawOrder,Chauvinism,ChristianSchool,GayNeighbor,GayPartner,ForNeighbor,ForPartner,Ukraine,DemonstrateNational,DemonstrateTrad
166,2,66,2,1,2,4,4,4,4,3,3,4,4,4,4,4,4,1,4,4,4,4,4,0,0
167,2,54,2,1,5,3,4,3,2,3,2,2,3,4,4,3,2,2,4,4,4,4,4,0,0
168,1,59,3,1,4.136666666666667,5,4,4,3,5,5,5,2,4,4,4,3,1,3,3,3,3,3,2,0
169,1,68,3,1,4,3.09,2,2,2,3,4,4,4,3,3,3,3,3,2,3,3,3,2,0,0
170,1,51,3,1,5,4,3,4,4,3,3,3,1,3,4,3,4,3,4,4,4,4,4,1,0
171,2,44,2,1,1,3,1,1,1,3,2,2,1,1,1,2,2,1,1,1,1,1,1,0,0
172,2,28,3,1,4,2,3,3,2,2,3,4,3,2,3,2,4,3,2,4,1,2,2,0,0
173,1,66,2,1,2,2,3,2,2,4,5,4,4,2,2,4,4,4,4,4,1,2,1,0,0
174,1,33,2,0,4,4,2,4,2,4,4,5,2,1,3,3,3,3,4,4,3,4,3,0,0
175,1,46,2,0,5,4,1,1,1,5,5,5,4,4,4,4,1,2,4,4,3,3,3,0,0
176,1,61,1,0,4,1,4,4,4,5,5,5,3,4,4,4,3,3,2,3,3,3,3,0,0
177,2,36,2,0,3,3,3,4,3,5,5,5,3,3,4,3,1,3,3,3,3,3,2,0,0
178,2,77,2,0,3,3,4,3,3,4,5,4,3,2,4,1,1,4,4,4,1,2,1,0,2
179,1,39,3,0,5,3,4,4,3,5,5,5,4,3,4,3,3,2,3,3,3,3,3,0,0
180,2,45,2,0,5,3,2,2,2,4,4,4,3,3,4,3,2,2,2,2,2,2,2,0,0
181,1,34,1,0,3.523333333333334,3,3,4,2,3,3,3,3,4,4,3,3,2,2,2,2,3,3,0,0
182,1,44,3,0,5,4,3,4,2,3,3,4,3,4,4,2,3,2,2,2,2,2,2,0,0
183,1,41,1,0,5,4,3,3,2,4,2,4,3,3,3,3,4,3,2,3,2,2,2,0,0
184,2,42,3,0,5,4,3,3,2,4,3,2,3,4,4,3,2,2,2,2,2,2,2,1,0
185,2,35,2,0,4,2,2,2,1,2,2,3,3,3,2,3,2,1,2,3,2,2,1,0,0
186,1,40,2,0,4,3,3,3,3,3,4,4,3,4,3,3,3,1,1,1,2,3,2,0,0
187,2,69,1,0,2,3,4,4,4,5,5,5,3,2,4,3,4,1,2,2,2,2,2,0,0
188,2,63,1,0,1,1,4,4,4,5,5,5,4,3,3,3,4,4,4,4,2,4,2,0,0
189,1,26,2,0,3,4,2,2,2,4,3,4,3,3,4,3,3,3,4,4,4,4,4,0,0
190,1,33,2,0,3,5,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,0,0
191,1,51,3,0,5,2,3,3,2,4,4,4,3,4,4,3,3,2,2,2,2,2,2,0,0
192,2,40,2,0,3,3,3,3,3,4,4,4,3,2,3,2,2,2,3,3,3,3,3,0,0
193,1,77,1,0,2,2,3,3,2,4,5,4,3,3,4,3,3,2,2,2,1,2,1,0,0
194,2,62,1,0,2,2,2,3,2,4,4,4,4,4,3,4,2,3,2,2,2,3,3,0,0
195,2,28,3,0,3,4,1,1,1,3,3,3,3,4,2,3,2,3,2,2,2,3,2,0,0
196,1,39,3,0,5,3,3,1,1,3,3,4,3,2,3,2,2,1,1,1,1,1,1,0,0
197,2,45,3,0,1,3,2,3,1,2,2,3,4,3,3,3,2,2,1,1,1,1,1,0,0
198,2,66,1,0,3,2.5325,4,4,4,5,5,5,2,3,1,3,3,3,2,2,3,3,3,0,0
199,1,53,2,0,5,2,2,3,3,3,4,4,2,2,3,2,3,2,2,2,2,2,2,0,0
200,1,54,1,0,5,3,3,3,3,4,4,4,1,2,4,2,3,2,4,4,4,4,4,0,0
201,2,43,2,0,3,3,2,3,1,4,4,4,3,3,3,4,1,3,2,3,2,2,2,0,0
202,1,71,1,0,3,1,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,0,0
203,2,59,3,0,3.635,3,4,4,4,3,4,5,2,3,4,3,1,1,1,4,1,1,1,0,0
204,1,34,1,0,5,4,4,2,2,4,4,5,4,4,4,3,3,4,4,4,3,3,3,0,0
205,2,26,2,0,4,3,1,1,1,4,3,4,3,3,1,4,2,4,2,2,2,4,2,0,0
206,2,42,1,0,1,2.3475,4,4,4,5,5,3,1,4,4,4,4,4,1,1,1,1,1,0,0
207,1,54,1,0,4,3,2,2,2,4,4,3,3,4,4,3,1,3,2,2,2,2,2,0,0
208,2,68,1,0,2,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,0,0
209,1,38,3,0,4,2,3,3,3,4,4,4,2,4,4,2,3,2,3,2,2,2,2,1,1
210,1,52,1,0,5,4,2,2,1,5,5,5,3,4,4,3,3,2,3,3,3,4,3,0,0
211,1,40,3,0,5,1,4,4,3,4,4,4,2,4,4,3,4,3,2,2,2,2,2,0,0
212,2,49,2,0,4,3,3,3,3,3,4,4,3,4,4,2,2,3,4,4,4,4,4,0,0
213,2,58,3,0,5,4,2,3,1,3,4,4,4,2,4,2,2,4,1,3,1,1,1,0,1
214,2,51,1,0,4,3,3,3,2,3,3,4,3,3,4,4,2,2,3,3,2,3,1,0,0
215,2,61,2,0,2,1,2,2,2,3,3,4,3,3,3,2,2,2,4,3,3,3,3,0,0
216,1,44,1,0,1,2,3,3,2,4,4,4,3,3,4,3,2,2,1,1,1,1,1,0,0
217,1,18,1,0,1,3,3,3,2,4,4,5,3,3,3,3,2,2,3,3,2,2,2,0,0
218,2,33,3,0,3.995,4,2,2,2,3,4,4,3,3,3,4,3,2,3,4,3,4,3,0,0
219,2,34,3,0,2,3,4,4,2,2,3,5,2,4,4,3,1,3,4,4,4,4,4,0,0
220,2,39,2,0,4,2,4,4,2,3,3,4,4,3,4,1,1,3,2,2,2,2,2,0,0
221,1,52,2,0,4.156666666666666,3,3,4,2,4,3,3,4,3,4,3,1,2,2,2,2,2,2,0,0
222,1,53,1,0,4,4,2,2,1,4,4,5,4,2,3,2,3,3,2,2,3,3,2,0,0
223,1,40,2,0,5,2,2,3,3,4,3,4,3,4,4,3,3,2,2,2,2,2,2,0,0
224,2,35,3,0,4,2.873333333333333,3,4,2,4,4,4,2,3,4,3,2,3,2,2,2,2,2,0,0
225,2,37,3,0,4,3.23,3,3,1,3,4,4,3,2,3,2,2,3,2,2,2,2,2,0,1
